student_id,name,gender,age,school,math_score,science_score,english_score,attendance_pct,extracurricular,parent_education,lunch_type,test_prep,total_score,average_score,grade
STU10000,Ishaan Bose,Male,19,City High,55.68297801805639,60.93030470989782,70.6054394741328,73.84070385127433,nan,High School,Free,None,187.218722202087,62.406240734029005,C
STU10001,Advait Banerjee,Female,18,Global Academy,50.85554941325354,52.33614874616077,75.05932609708499,87.32122048808421,Sports,Master,Paid,None,178.2510242564993,59.417008085499766,D
STU10002,Vivaan Reddy,Male,17,XYZ International,87.1605884094629,86.0622403327239,74.10528413496404,78.3366704817822,None,PhD,Free,Completed,247.32811287715083,82.44270429238361,A
STU10003,Advait Ghosh,Female,19,Global Academy,80.16645508380486,86.58777008104333,70.4412646685855,98.41033858961168,Music,High School,Free,None,237.19548983343373,79.06516327781124,B
STU10004,Ishaan Chakraborty,Female,19,Global Academy,84.11089464900193,65.25891618403922,77.38397646052819,83.08052844567216,Debate,Bachelor,Paid,None,226.75378729356936,75.58459576452312,B
STU10005,Dhruv Mehta,Female,19,Sunshine Secondary,50.74937179601275,62.501361090821284,61.8600010909005,92.1875124310683,Sports,High School,Paid,Completed,175.11073397773453,58.37024465924484,D
STU10006,Vivaan Ghosh,Male,15,ABC Public School,42.12341538478459,42.58325321352963,79.15852063827668,89.42851669307107,Sports,High School,Paid,Completed,163.8651892365909,54.6217297455303,D
STU10007,Ananya Reddy,Male,19,ABC Public School,,77.74345757425047,50.89975165929084,78.98838942827314,Music,Bachelor,Paid,None,,,
STU10008,Trisha Patel,Female,18,ABC Public School,70.02689199610496,91.14816152356181,56.423162984914455,65.19671213047627,None,Master,Free,None,217.59821650458125,72.53273883486041,B
STU10009,Prisha Ghosh,Female,18,Sunshine Secondary,70.46902705557248,59.07927395836621,93.90869456602218,96.84941367621047,None,High School,Paid,Completed,223.45699557996087,74.48566519332029,B
STU10010,Aanya Iyer,Male,17,Global Academy,87.17275903458503,66.36501663913043,56.925839679338566,75.21090923302857,Sports,Master,Paid,None,210.46361535305402,70.15453845101801,B
STU10011,Avni Gupta,Female,16,City High,38.99349364987628,74.08008045842023,48.480493775557676,80.96241944521256,Sports,High School,Free,Completed,161.55406788385417,53.851355961284725,D
STU10012,Aanya Ghosh,Male,16,ABC Public School,77.89542576946648,92.14185704853868,57.22300597120575,83.49157558433426,None,Master,Paid,Completed,227.2602887892109,75.75342959640363,B
STU10013,Aarav Iyer,Female,15,XYZ International,48.55062433779023,70.79686710569132,92.8806872303608,84.48988431896319,None,Bachelor,Free,None,212.22817867384236,70.74272622461412,B
STU10014,Anaya Saxena,Female,19,XYZ International,77.83602981291261,70.73601882437126,50.49765911672742,94.61958662539018,Sports,Bachelor,Free,None,199.0697077540113,66.35656925133709,C
STU10015,Advait Iyer,Female,15,City High,57.87564943217934,70.51045901623725,60.53022980890139,85.05824057923277,Sports,Master,Free,nan,188.916338257318,62.97211275243933,C
STU10016,Krish Chatterjee,nan,17,XYZ International,52.79042306164233,48.049544903348576,54.50169018819616,83.72645909740669,Sports,High School,Paid,None,155.34165815318707,51.78055271772902,D
STU10017,Rudra Choudhary,Female,17,ABC Public School,55.851459395761964,,68.7104496349199,95.18455956545013,Sports,High School,Free,Completed,,,
STU10018,Aarohi Das,Female,16,Global Academy,43.315846988351566,56.688067632391785,66.76774922183117,91.00652371886785,Sports,High School,Paid,Completed,166.77166384257453,55.59055461419151,D
STU10019,Kabir Banerjee,Male,17,XYZ International,65.606434097502,82.18046803652322,66.2309219192756,77.64429554019345,Debate,Bachelor,Paid,None,214.01782405330084,71.33927468443362,B
STU10020,Avni Chakraborty,Male,19,City High,53.409899140093145,63.305001012356094,94.27360559286164,73.52844622521167,None,High School,Free,Completed,210.98850574531087,70.32950191510362,B
STU10021,Anika Bose,Male,18,ABC Public School,76.79447346350418,60.585543316767904,57.61109618834942,76.7630022480008,Sports,Bachelor,Free,None,194.9911129686215,64.99703765620717,C
STU10022,Aarohi Patel,Female,17,Sunshine Secondary,74.60084121549376,60.33955554198725,70.77374664339467,84.50780249811785,None,High School,Free,Completed,205.71414340087568,68.57138113362522,C
STU10023,Aditya Chakraborty,Male,15,City High,90.32235579354186,66.07280370138251,76.0632149558488,72.53946224829578,Debate,High School,Paid,Completed,232.4583744507732,77.4861248169244,B
STU10024,Ishaan Ghosh,Male,19,Sunshine Secondary,70.49491225311615,91.82951107742296,60.23748885513427,85.90753047162468,None,PhD,Paid,None,222.56191218567338,74.18730406189113,B
STU10025,Reyansh Malhotra,Male,17,City High,72.81016650620111,65.8832366002403,77.83907977495923,83.70801690209659,None,Master,Paid,Completed,216.53248288140063,72.17749429380021,B
STU10026,Kiara Singh,Male,17,Sunshine Secondary,86.0014971774172,56.991836324751986,67.20227406536031,59.574809676894375,None,High School,Free,None,210.19560756752952,70.06520252250984,B
STU10027,Krish Menon,Male,19,Sunshine Secondary,55.58505955959956,68.35343880714287,76.49170879427827,70.93824813732705,Debate,Master,Paid,None,200.4302071610207,66.81006905367356,C
STU10028,Kiara Joshi,Female,17,City High,42.67612680765451,92.57117048066152,70.70400898169217,56.142497563158464,None,Bachelor,nan,None,205.9513062700082,68.65043542333606,C
STU10029,Anaya Ghosh,Female,18,Sunshine Secondary,68.00141088692591,60.96045393490138,47.39362529320435,81.5609693895569,Music,High School,Paid,None,176.35549011503167,58.78516337167722,D
STU10030,Aanya Bose,Female,16,XYZ International,43.66049796178394,51.46592988196677,87.67318455318889,95.74013645346001,Sports,Bachelor,Paid,None,182.7996123969396,60.9332041323132,C
STU10031,Amaira Banerjee,Female,19,XYZ International,100.0,60.98612222377416,96.84549978424886,66.09342044571996,None,PhD,Paid,None,257.83162200802303,85.94387400267435,A
STU10032,Amaira Malhotra,Male,15,ABC Public School,86.83247438118414,69.80269230887806,69.87894981678224,71.77713180206635,None,Master,nan,Completed,226.51411650684443,75.50470550228148,B
STU10033,Anika Reddy,Female,17,City High,97.4596449995237,77.63537331155476,61.22457537760075,83.36262132726819,Sports,Master,Paid,None,236.31959368867922,78.7731978962264,B
STU10034,Kabir Patel,Male,16,Global Academy,65.93670464994693,82.09637010155144,,74.36246971146572,None,Bachelor,Free,None,,,
STU10035,Ira Chatterjee,Male,15,Global Academy,73.25860390552397,53.3599581645274,94.68459483440965,74.31327232933208,Music,Bachelor,Paid,None,221.30315690446102,73.76771896815367,B
